id,title,genres,averageRating,numVotes,releaseYear
tt5959980,"Vada Chennai","Action, Crime, Drama",8.4,21262,2018
tt0052572,"The World of Apu",Drama,8.4,17630,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15721,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Drama",8.4,15683,1965
tt0073000,"The Pinchcliffe Grand Prix","Animation, Comedy, Family",8.4,14783,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,14277,2002
tt26758372,Meiyazhagan,"Drama, Family",8.4,14157,2024
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12906,2015
tt12415546,"Attack on Titan: Chronicle","Action, Adventure, Animation",8.4,12392,2020
tt0184756,"Mr. Muhsin","Comedy, Drama, Music",8.4,12313,1987
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11979,2004
tt7286456,Joker,"Crime, Drama, Thriller",8.3,1607841,2019
tt0169547,"American Beauty",Drama,8.3,1248432,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1181119,2009
tt0086190,"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy",8.3,1164254,1983
tt0119217,"Good Will Hunting","Drama, Romance",8.3,1136924,1997
tt0338013,"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",8.3,1135889,2004
tt0105236,"Reservoir Dogs","Crime, Thriller",8.3,1132023,1992
tt0112573,Braveheart,"Biography, Drama, War",8.3,1128999,1995
tt0114709,"Toy Story","Adventure, Animation, Comedy",8.3,1121879,1995
tt0086250,Scarface,"Crime, Drama",8.3,965002,1983
tt0180093,"Requiem for a Dream",Drama,8.3,938360,2000
tt0435761,"Toy Story 3","Adventure, Animation, Comedy",8.3,931227,2010
tt15398776,Oppenheimer,"Biography, Drama, History",8.3,889493,2023
tt0211915,Amélie,"Comedy, Romance",8.3,818292,2001
tt0113277,Heat,"Action, Crime, Drama",8.3,757613,1995
tt0062622,"2001: A Space Odyssey","Adventure, Sci-Fi",8.3,753189,1968
tt0364569,Oldboy,"Action, Drama, Mystery",8.3,678575,2003
tt0057012,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War",8.3,537425,1964
tt0033467,"Citizen Kane","Drama, Mystery",8.3,480793,1941
tt0119698,"Princess Mononoke","Adventure, Animation, Fantasy",8.3,460031,1997
tt0087843,"Once Upon a Time in America","Crime, Drama",8.3,394916,1984
tt2106476,"The Hunt",Drama,8.3,387865,2012
tt0053125,"North by Northwest","Adventure, Drama, Mystery",8.3,360250,1959
tt0056592,"To Kill a Mockingbird","Crime, Drama",8.3,343156,1962
tt0056172,"Lawrence of Arabia","Adventure, Biography, Drama",8.3,328978,1962
tt0045152,"Singin' in the Rain","Comedy, Musical, Romance",8.3,272443,1952
tt1832382,"A Separation",Drama,8.3,269173,2011
tt1255953,Incendies,"Drama, Mystery, War",8.3,227457,2010
tt5074352,Dangal,"Action, Biography, Drama",8.3,225391,2016
tt0986264,"Like Stars on Earth","Drama, Family",8.3,217679,2007
tt0053604,"The Apartment","Comedy, Drama, Romance",8.3,208816,1960
tt0017136,Metropolis,"Drama, Sci-Fi",8.3,194285,1927
tt0022100,M,"Crime, Mystery, Thriller",8.3,176951,1931
tt0036775,"Double Indemnity","Crime, Drama, Film-Noir",8.3,174753,1944
tt8110330,"Dil Bechara","Comedy, Drama, Romance",8.3,136210,2020
tt10295212,Shershaah,"Action, Biography, Drama",8.3,132312,2021
tt8503618,Hamilton,"Biography, Drama, History",8.3,127440,2020
tt0091251,"Come and See","Drama, Thriller, War",8.3,111744,1985
tt14961016,"I'm Still Here","Biography, Drama, History",8.3,107217,2024
tt0044741,Ikiru,Drama,8.3,96325,1952
tt0055031,"Judgment at Nuremberg","Drama, War",8.3,91535,1961
tt9179430,Vikram,"Action, Crime, Thriller",8.3,80736,2022
tt27719898,Kaiva,"Action, Drama, Romance",8.3,68973,2023
tt9052870,Chhichhore,"Comedy, Drama, Romance",8.3,67873,2019
tt7060344,Raatchasan,"Crime, Mystery, Thriller",8.3,53793,2018
tt21626284,"Lost Ladies","Comedy, Drama",8.3,51189,2023
tt10280296,"Sardar Udham","Crime, Drama, History",8.3,49149,2021
tt0019760,"Man with a Movie Camera",Documentary,8.3,29196,1929
tt0110057,"Hoop Dreams","Documentary, Drama, Sport",8.3,28835,1994
tt7681902,"Won't You Be My Neighbor?","Biography, Documentary, History",8.3,27623,2018
